strategy,document,config,sentence_boundary_rate,paragraph_boundary_rate
Recursive-Character,podcast,"profile=semantic,chunk-size=500,overlap=0",0.0,0.0
Recursive-Character,podcast,"profile=semantic,chunk-size=500,overlap=100",0.0,0.0
Recursive-Character,podcast,"profile=semantic,chunk-size=500,overlap=50",0.0,0.0
Recursive-Character,podcast,"profile=sentence,chunk-size=1000,overlap=0",0.0,0.0
Recursive-Character,podcast,"profile=sentence,chunk-size=1000,overlap=100",0.0,0.0
Recursive-Character,podcast,"profile=sentence,chunk-size=1000,overlap=50",0.0,0.0
Recursive-Character,podcast,"profile=sentence,chunk-size=2000,overlap=0",0.0,0.0
Recursive-Character,podcast,"profile=sentence,chunk-size=2000,overlap=100",0.0,0.0
Recursive-Character,podcast,"profile=sentence,chunk-size=2000,overlap=50",0.0,0.0
Recursive-Character,podcast,"profile=sentence,chunk-size=500,overlap=0",0.0,0.0
Recursive-Character,podcast,"profile=sentence,chunk-size=500,overlap=100",0.0,0.0
Recursive-Character,podcast,"profile=sentence,chunk-size=500,overlap=50",0.0,0.0
Semantic,podcast,"threshold=0.65,sample=5000",1.0,0.0
Semantic,podcast,"threshold=0.70,sample=5000",1.0,0.0
Semantic,podcast,"threshold=0.75,sample=5000",1.0,0.0
Token-Based,podcast,"chunk-size=1000,overlap=0",0.0,0.0
Token-Based,podcast,"chunk-size=1000,overlap=100",0.0,0.0
Token-Based,podcast,"chunk-size=1000,overlap=50",0.0,0.0
Token-Based,podcast,"chunk-size=500,overlap=0",0.0,0.0
Token-Based,podcast,"chunk-size=500,overlap=100",0.0,0.0
Token-Based,podcast,"chunk-size=500,overlap=50",0.0,0.0
